mean reward at round 379:128.34385596582368
mean reward at round 380:110.70822409685225
mean reward at round 381:109.63587711883828
mean reward at round 382:118.27614878202155
mean reward at round 383:118.01834168931265
mean reward at round 384:113.86919842490123
mean reward at round 385:105.68243872449989
mean reward at round 386:104.51512017594919
mean reward at round 387:108.82472006299652
mean reward at round 388:107.88465091014325
mean reward at round 389:110.36462858588472
mean reward at round 390:108.12957395249427
mean reward at round 391:105.80752095820637
mean reward at round 392:106.93448956972799
mean reward at round 393:115.37774718003088
mean reward at round 394:110.99065606291501
mean reward at round 395:105.22735234523914
mean reward at round 396:107.36195103146586
mean reward at round 397:118.21172035127563
mean reward at round 398:107.13973596407212
mean reward at round 399:111.64553087410641
mean reward at round 400:116.82345900188734
mean reward at round 401:103.94205019237029
mean reward at round 402:116.91948142401162
mean reward at round 403:112.92520356907391
mean reward at round 404:114.27654191129747
mean reward at round 405:113.38304145358742
mean reward at round 406:114.28223034770636
mean reward at round 407:114.65909748859242
mean reward at round 408:114.55637549012079
mean reward at round 409:112.57723612232225
mean reward at round 410:124.12916665448246
mean reward at round 411:110.44391101474724
mean reward at round 412:109.02809727236779
mean reward at round 413:122.99321802710814
mean reward at round 414:120.7457835592228
mean reward at round 415:108.05304651338353
mean reward at round 416:113.2916634605496
mean reward at round 417:107.87065050571795
mean reward at round 418:120.15807211642189
mean reward at round 419:111.7050443932832
mean reward at round 420:111.18878753621343
mean reward at round 421:116.10959986781054
mean reward at round 422:111.557902205313
mean reward at round 423:117.39044308079663
mean reward at round 424:120.20233975990332
mean reward at round 425:115.16572824154053
mean reward at round 426:112.49665251256431
mean reward at round 427:114.39978178781794
mean reward at round 428:112.54754089017885
mean reward at round 429:116.83033361704966
mean reward at round 430:116.8125323335511
mean reward at round 431:105.16406643190311
mean reward at round 432:110.38579462414617
mean reward at round 433:98.6095351689253
mean reward at round 434:110.60353957176814
mean reward at round 435:111.21067681473902
mean reward at round 436:113.08393692346363
mean reward at round 437:107.67768558147833
mean reward at round 438:103.53614207427431
mean reward at round 439:107.1189916742054
mean reward at round 440:110.3095381177331
mean reward at round 441:110.59125176906845
mean reward at round 442:107.05060806316185
mean reward at round 443:112.63088812113804
mean reward at round 444:122.74962390533516
mean reward at round 445:112.77611883014141
mean reward at round 446:111.98901943641097
mean reward at round 447:114.22383210790443
mean reward at round 448:110.14702083108482
mean reward at round 449:101.98210102180637
mean reward at round 450:108.541314525694
mean reward at round 451:103.83879387773634
mean reward at round 452:99.48555813223099
mean reward at round 453:107.24525609347458
mean reward at round 454:104.50484909407297
mean reward at round 455:111.29605827943948
mean reward at round 456:109.30196802331457
mean reward at round 457:108.38805814993647
mean reward at round 458:92.25669013570973
mean reward at round 459:103.66130574952503
mean reward at round 460:110.37611371465742
mean reward at round 461:100.26263986085046
mean reward at round 462:93.2413934104085
mean reward at round 463:108.59019013610929
mean reward at round 464:107.53507492583066
mean reward at round 465:113.43957820710979
mean reward at round 466:105.7657793658947
mean reward at round 467:104.40493680452312
mean reward at round 468:117.15939602306402
mean reward at round 469:114.68779633685351
mean reward at round 470:108.46349359797536
mean reward at round 471:117.82717068358322
mean reward at round 472:116.74903298050799
mean reward at round 473:109.53277745510951
mean reward at round 474:107.15778218791374
mean reward at round 475:103.91210009776213
mean reward at round 476:104.00911425370896
mean reward at round 477:109.32759408909956
mean reward at round 478:106.49864919166336
mean reward at round 479:108.59632103544631
mean reward at round 480:107.04656125890442
mean reward at round 481:104.05983871923085
mean reward at round 482:104.48702704966836
mean reward at round 483:100.12690115598869
mean reward at round 484:123.84066190212707
mean reward at round 485:119.03217153919503
mean reward at round 486:110.38678271978054
mean reward at round 487:113.13826938236403
mean reward at round 488:110.08537405045169
mean reward at round 489:116.9958510323425
mean reward at round 490:111.03040893469513
mean reward at round 491:113.9317246196742
mean reward at round 492:114.80158552316608
mean reward at round 493:102.17388348175285
mean reward at round 494:106.34025134468057
mean reward at round 495:110.54923018837502
mean reward at round 496:107.2432192594007
mean reward at round 497:105.24365127668644
mean reward at round 498:115.43620152143869
mean reward at round 499:112.88846741096609
mean reward at round 500:108.02305067831509
mean reward at round 501:117.87865422972028
mean reward at round 502:116.33512007559649
mean reward at round 503:104.98010046462839
mean reward at round 504:117.18789092033896
mean reward at round 505:120.18517361738442
mean reward at round 506:106.97815834568678
mean reward at round 507:108.85213354643054
mean reward at round 508:107.91883564978887
mean reward at round 509:118.82248499689383
mean reward at round 510:115.74130678912752
mean reward at round 511:106.67700826333865
mean reward at round 512:107.73317595201489
mean reward at round 513:109.11333288081055
mean reward at round 514:110.63066371341304
mean reward at round 515:105.29709901839104
mean reward at round 516:112.01166364092398
mean reward at round 517:110.79424208509927
mean reward at round 518:110.52646849885633
mean reward at round 519:110.95055769080912
mean reward at round 520:95.59468103600486
mean reward at round 521:101.53676043787044
mean reward at round 522:114.48752847808024
mean reward at round 523:95.19127428012037
mean reward at round 524:94.8655108795437
mean reward at round 525:104.75814038087789
mean reward at round 526:97.9259074584215
mean reward at round 527:111.28872099701421
mean reward at round 528:111.16644820890315
mean reward at round 529:113.34114742032027
mean reward at round 530:110.69164254437791
mean reward at round 531:112.4539450781302
